fork,seed,fork_step,branch,rng,step,ret
seed5_at124k,5,124245,mf,202,214246,463.75
seed5_at124k,5,124245,mf,202,224246,471.32
seed5_at124k,5,124245,mf,202,234246,417.69
seed5_at124k,5,124245,mf,303,124246,127.7
seed5_at124k,5,124245,mf,303,134246,133.82
seed5_at124k,5,124245,mf,303,144246,132.19
seed5_at124k,5,124245,mf,303,154246,189.38
seed5_at124k,5,124245,mf,303,164246,511.05
seed5_at124k,5,124245,mf,303,174246,474.75
seed5_at124k,5,124245,mf,303,184246,352.41
seed5_at124k,5,124245,mf,303,194246,489.04
seed5_at124k,5,124245,mf,303,204246,344.13
seed5_at124k,5,124245,mf,303,214246,438.95
seed5_at124k,5,124245,mf,303,224246,549.07
seed5_at124k,5,124245,mf,303,234246,372.92
seed11_at356k,11,355856,base,101,355857,461.68
seed11_at356k,11,355856,base,101,365857,612.8
seed11_at356k,11,355856,base,101,375857,820.66
seed11_at356k,11,355856,base,101,385857,490.52
seed11_at356k,11,355856,base,101,395857,747.85
seed11_at356k,11,355856,base,101,405857,562.92
seed11_at356k,11,355856,base,101,415857,701.9
seed11_at356k,11,355856,base,101,425857,69.73
seed11_at356k,11,355856,base,101,435857,427.64
seed11_at356k,11,355856,base,101,445857,440.44
seed11_at356k,11,355856,base,101,455857,777.18
seed11_at356k,11,355856,base,101,465857,767.06
seed11_at356k,11,355856,base,202,355857,420.18
seed11_at356k,11,355856,base,202,365857,836.89
seed11_at356k,11,355856,base,202,375857,709.36
seed11_at356k,11,355856,base,202,385857,922.17
seed11_at356k,11,355856,base,202,395857,702.89
seed11_at356k,11,355856,base,202,405857,764.39
seed11_at356k,11,355856,base,202,415857,400.51
seed11_at356k,11,355856,base,202,425857,748.04
seed11_at356k,11,355856,base,202,435857,666.68
seed11_at356k,11,355856,base,202,445857,740.65
seed11_at356k,11,355856,base,202,455857,831.02
seed11_at356k,11,355856,base,202,465857,838.18
seed11_at356k,11,355856,base,303,355857,417.88
seed11_at356k,11,355856,base,303,365857,497.82
seed11_at356k,11,355856,base,303,375857,824.86
seed11_at356k,11,355856,base,303,385857,418.29
seed11_at356k,11,355856,base,303,395857,376.83
seed11_at356k,11,355856,base,303,405857,801.41
seed11_at356k,11,355856,base,303,415857,837.28
seed11_at356k,11,355856,base,303,425857,730.68
seed11_at356k,11,355856,base,303,435857,99.05
seed11_at356k,11,355856,base,303,445857,472.82
seed11_at356k,11,355856,base,303,455857,269.0
seed11_at356k,11,355856,base,303,465857,209.61
seed11_at356k,11,355856,sham,101,355857,434.61
seed11_at356k,11,355856,sham,101,365857,615.59
seed11_at356k,11,355856,sham,101,375857,794.69
seed11_at356k,11,355856,sham,101,385857,518.59
seed11_at356k,11,355856,sham,101,395857,740.52
seed11_at356k,11,355856,sham,101,405857,781.88
seed11_at356k,11,355856,sham,101,415857,424.34
seed11_at356k,11,355856,sham,101,425857,968.24
seed11_at356k,11,355856,sham,101,435857,920.64
seed11_at356k,11,355856,sham,101,445857,592.31
seed11_at356k,11,355856,sham,101,455857,1048.4
seed11_at356k,11,355856,sham,101,465857,901.62
seed11_at356k,11,355856,sham,202,355857,416.41
seed11_at356k,11,355856,sham,202,365857,841.71
seed11_at356k,11,355856,sham,202,375857,689.75
seed11_at356k,11,355856,sham,202,385857,1016.03
seed11_at356k,11,355856,sham,202,395857,742.0
seed11_at356k,11,355856,sham,202,405857,666.72
seed11_at356k,11,355856,sham,202,415857,538.52
seed11_at356k,11,355856,sham,202,425857,724.54
seed11_at356k,11,355856,sham,202,435857,688.99
seed11_at356k,11,355856,sham,202,445857,757.72
seed11_at356k,11,355856,sham,202,455857,642.04
seed11_at356k,11,355856,sham,202,465857,748.83
seed11_at356k,11,355856,sham,303,355857,418.29
seed11_at356k,11,355856,sham,303,365857,522.06
seed11_at356k,11,355856,sham,303,375857,817.81
seed11_at356k,11,355856,sham,303,385857,383.76
seed11_at356k,11,355856,sham,303,395857,368.36
seed11_at356k,11,355856,sham,303,405857,837.2
seed11_at356k,11,355856,sham,303,415857,959.76
