kind,reward_base,discount_rate,discount_horizon,eta,settling_tolerance,settle_threshold,settled_fraction,settling_p10,settling_p50,settling_p90,saturated_fraction,mean_reward,tail_reward,lqr_edge_reward_raw,ceiling_raw,lqr_mean_reward,tube_mean_reward,lqr_reward_exceeds_tube
r3,lyapunov,0.1,10.0,8.1,0.01,4.605170185988091,1.0,2.7120999999998125,2.778999999999805,3.0177999999997787,0.8194543397830109,9.129930794641785,9.535943966933088,-5.78894481850045e-05,-5.78894481850045e-05,9.756975432048616,9.583265631946167,True
r3,lyapunov,0.1,10.0,8.120000000000001,0.01,4.605170185988091,1.0,2.7119999999998123,2.778499999999805,3.0177999999997787,0.8207027148642568,9.134683928475857,9.538133802415755,-5.78894481850045e-05,-5.78894481850045e-05,9.756975432048616,9.585380217711196,True
r3,lyapunov,0.1,10.0,8.14,0.01,4.605170185988091,1.0,2.7110999999998127,2.777999999999805,3.0177999999997787,0.8219651517424129,9.139459899813453,9.540322499992671,-5.78894481850045e-05,-5.78894481850045e-05,9.756975432048616,9.587488377744352,True
r3,lyapunov,0.1,10.0,8.16,0.01,4.605170185988091,1.0,2.7100999999998128,2.777999999999805,3.0177999999997787,0.8233088345582721,9.144241177457523,9.542508050270257,-5.78894481850045e-05,-5.78894481850045e-05,9.756975432048616,9.589583811284301,True
r3,lyapunov,0.1,10.0,8.18,0.01,4.605170185988091,1.0,2.7100999999998128,2.776999999999805,3.0167999999997788,0.8247134518274086,9.14905195913237,9.544689975253629,-5.78894481850045e-05,-5.78894481850045e-05,9.756975432048616,9.59166679704499,True
r3,lyapunov,0.1,10.0,8.2,0.01,4.605170185988091,1.0,2.709099999999813,2.776999999999805,3.0167999999997788,0.8259258912054397,9.153848524201756,9.546866731179842,-5.78894481850045e-05,-5.78894481850045e-05,9.756975432048616,9.593739939037805,True
r3,lyapunov,0.1,10.0,8.22,0.01,4.605170185988091,1.0,2.7089999999998127,2.7759999999998053,3.0167999999997788,0.8271914529273536,9.158656026333205,9.54903947399454,-5.78894481850045e-05,-5.78894481850045e-05,9.756975432048616,9.595804606240558,True
r3,lyapunov,0.1,10.0,8.24,0.01,4.605170185988091,1.0,2.708099999999813,2.7759999999998053,3.0167999999997788,0.8284945127743613,9.163490100356846,9.551207587973645,-5.78894481850045e-05,-5.78894481850045e-05,9.756975432048616,9.597860753259985,True
r3,lyapunov,0.1,10.0,8.26,0.01,4.605170185988091,1.0,2.707999999999813,2.7759999999998053,3.016699999999779,0.8298725688715565,9.16834815418726,9.553371338310502,-5.78894481850045e-05,-5.78894481850045e-05,9.756975432048616,9.599904136626936,True
r3,lyapunov,0.1,10.0,8.28,0.01,4.605170185988091,1.0,2.707099999999813,2.7749999999998054,3.015799999999779,0.8313037473126343,9.173186132696875,9.555530394375241,-5.78894481850045e-05,-5.78894481850045e-05,9.756975432048616,9.601934718504976,True
r3,lyapunov,0.1,10.0,8.3,0.01,4.605170185988091,1.0,2.706999999999813,2.7749999999998054,3.015799999999779,0.8328630443477826,9.178036583233048,9.55768487662563,-5.78894481850045e-05,-5.78894481850045e-05,9.756975432048616,9.603947159751211,True
r3,lyapunov,0.1,10.0,8.32,0.01,4.605170185988091,1.0,2.706099999999813,2.7739999999998055,3.015799999999779,0.8344317159142043,9.18290718652742,9.559834509376927,-5.78894481850045e-05,-5.78894481850045e-05,9.756975432048616,9.605938979332663,True
r3,lyapunov,0.1,10.0,8.34,0.01,4.605170185988091,1.0,2.705999999999813,2.7739999999998055,3.015799999999779,0.8358066471676416,9.187798497812645,9.561979362704456,-5.78894481850045e-05,-5.78894481850045e-05,9.756975432048616,9.607913408988386,True
r3,lyapunov,0.1,10.0,8.36,0.01,4.605170185988091,1.0,2.7050999999998133,2.773499999999806,3.014799999999779,0.8372347007649618,9.192680454243039,9.564118502529935,-5.78894481850045e-05,-5.78894481850045e-05,9.756975432048616,9.609873544992276,True
r3,lyapunov,0.1,10.0,8.38,0.01,4.605170185988091,1.0,2.704999999999813,2.7729999999998056,3.014799999999779,0.838611194440278,9.197564126296452,9.566251849545003,-5.78894481850045e-05,-5.78894481850045e-05,9.756975432048616,9.611818080212633,True
r3,lyapunov,0.1,10.0,8.4,0.01,4.605170185988091,1.0,2.7040999999998134,2.7724999999998055,3.014799999999779,0.8399642517874106,9.202473873304706,9.5683780227151,-5.78894481850045e-05,-5.78894481850045e-05,9.756975432048616,9.613750378564493,True
r3,lyapunov,0.1,10.0,8.42,0.01,4.605170185988091,1.0,2.7030999999998135,2.7719999999998057,3.014799999999779,0.8413469951502425,9.207411354479799,9.570494399177473,-5.78894481850045e-05,-5.78894481850045e-05,9.756975432048616,9.615669845237068,True
r3,lyapunov,0.1,10.0,8.44,0.01,4.605170185988091,1.0,2.7029999999998133,2.7719999999998057,3.013799999999779,0.8427297385130743,9.212340068479822,9.572594391652629,-5.78894481850045e-05,-5.78894481850045e-05,9.756975432048616,9.617575113896894,True
r3,lyapunov,0.1,10.0,8.46,0.01,4.605170185988091,1.0,2.7020999999998137,2.770999999999806,3.013799999999779,0.8440468601569922,9.217287859182978,9.57469243092557,-5.78894481850045e-05,-5.78894481850045e-05,9.756975432048616,9.619469134982436,True
r3,lyapunov,0.1,10.0,8.48,0.01,4.605170185988091,1.0,2.7019999999998134,2.770999999999806,3.013799999999779,0.8453592945352733,9.222236120434284,9.576789591052123,-5.78894481850045e-05,-5.78894481850045e-05,9.756975432048616,9.621351971647751,True
r3,lyapunov,0.1,10.0,8.5,0.01,4.605170185988091,1.0,2.7010999999998138,2.769999999999806,3.013799999999779,0.8466576671166441,9.227215870497039,9.578885587181293,-5.78894481850045e-05,-5.78894481850045e-05,9.756975432048616,9.623222931662482,True
r3,lyapunov,0.1,10.0,8.52,0.01,4.605170185988091,1.0,2.7009999999998136,2.769999999999806,3.012799999999779,0.8480200989950503,9.232191635373148,9.580981186618384,-5.78894481850045e-05,-5.78894481850045e-05,9.756975432048616,9.625081566126466,True
r3,lyapunov,0.1,10.0,8.540000000000001,0.01,4.605170185988091,1.0,2.700099999999814,2.7694999999998062,3.012799999999779,0.8494012799360032,9.237180114443634,9.583075182453937,-5.78894481850045e-05,-5.78894481850045e-05,9.756975432048616,9.626926488628126,True
r3,lyapunov,0.1,10.0,8.56,0.01,4.605170185988091,1.0,2.699099999999814,2.768999999999806,3.012799999999779,0.8508496450177491,9.242193993803841,9.58516701657731,-5.78894481850045e-05,-5.78894481850045e-05,9.756975432048616,9.62875489243051,True
r3,lyapunov,0.1,10.0,8.58,0.01,4.605170185988091,1.0,2.6989999999998138,2.768499999999806,3.012799999999779,0.852265199240038,9.247224727982118,9.587256942961364,-5.78894481850045e-05,-5.78894481850045e-05,9.756975432048616,9.63056858458116,True
r3,lyapunov,0.1,10.0,8.6,0.01,4.605170185988091,1.0,2.698099999999814,2.767999999999806,3.0126999999997794,0.8537166891655418,9.252269382889017,9.589344360508798,-5.78894481850045e-05,-5.78894481850045e-05,9.756975432048616,9.63236548863576,True
r3,lyapunov,0.1,10.0,8.620000000000001,0.01,4.605170185988091,1.0,2.697999999999814,2.7674999999998064,3.0117999999997793,0.8551056822158892,9.257318840754266,9.591430523050898,-5.78894481850045e-05,-5.78894481850045e-05,9.756975432048616,9.634147299909582,True
r3,lyapunov,0.1,10.0,8.64,0.01,4.605170185988091,1.0,2.697099999999814,2.7669999999998063,3.0117999999997793,0.8565306109694515,9.26240849082202,9.593514414265002,-5.78894481850045e-05,-5.78894481850045e-05,9.756975432048616,9.63591481221338,True
r3,lyapunov,0.1,10.0,8.66,0.01,4.605170185988091,1.0,2.6960999999998143,2.7669999999998063,3.0117999999997793,0.857786798160092,9.26750000317752,9.595597128159431,-5.78894481850045e-05,-5.78894481850045e-05,9.756975432048616,9.637667797478443,True
r3,lyapunov,0.1,10.0,8.68,0.01,4.605170185988091,1.0,2.695999999999814,2.7659999999998064,3.0116999999997796,0.859050797460127,9.272612045447552,9.59767810588292,-5.78894481850045e-05,-5.78894481850045e-05,9.756975432048616,9.639409217887353,True
r3,lyapunov,0.1,10.0,8.700000000000001,0.01,4.605170185988091,1.0,2.6950999999998144,2.7659999999998064,3.0107999999997794,0.8603741687915604,9.277734388463255,9.599757647754009,-5.78894481850045e-05,-5.78894481850045e-05,9.756975432048616,9.641137537688502,True
