seed,step,distribution,n,n_nonterminal,terminal_frac,gate_batch_size,gate_chunks,fd_anchor_nonfinite_frac,fd_anchor_nonfinite_nonterminal_frac,oracle_increment_nonfinite_frac,eps_quad_nonfinite_frac,eps_quad_finite_n,eps_quad_rms,eps_quad_bias,eps_quad_p95,eps_quad_p99,eps_quad_rel,eps_re_nonfinite_frac,eps_re_finite_n,eps_re_rms,eps_re_bias,eps_re_p95,eps_re_p99,eps_re_rel,eps_gate_nonfinite_frac,eps_gate_finite_n,eps_gate_rms,eps_gate_bias,eps_gate_p95,eps_gate_p99,eps_gate_rel,eps_fd_nonfinite_frac,eps_fd_finite_n,eps_fd_rms,eps_fd_bias,eps_fd_p95,eps_fd_p99,eps_fd_rel,rho_nonfinite_frac,rho_med,rho_p95,innovation_rho_med,mismatch_fraction_mean,innovation_valid_frac,lambda_mean,gate_fallback_frac,gate_fallback_nonterminal_frac,reanchor_nonfinite_frac,reanchor_nonfinite_nonterminal_frac,transport_seconds_mean,model_seconds_mean,long_frac
3,237719,onpolicy,2000,1999,0.0005000000237487257,256,8,0.0,0.0,0.0,0.0,1999,0.0582,-0.0049,0.1253,0.1973,0.2414,0.0,1999,0.0435,-0.0031,0.0965,0.1535,0.1803,0.0,1999,0.0394,-0.0041,0.0794,0.1161,0.1633,0.0,1999,0.0405,0.003,0.074,0.167,0.168,0.0,0.1222,0.3895,0.157,0.783395,0.9994999766349792,0.9365,0.0,0.0,0.0,0.0,0.008205,0.013117,0.1065
3,237719,ou,2000,1999,0.0005000000237487257,256,8,0.0,0.0,0.0,0.0,1999,0.0516,-0.0056,0.1106,0.2093,0.3157,0.0,1999,0.0399,-0.0038,0.0842,0.1687,0.2441,0.0,1999,0.0476,-0.0021,0.0646,0.1199,0.2913,0.0,1999,0.0511,0.0007,0.0742,0.1773,0.3125,0.0,0.0998,0.5703,0.1279,0.781369,0.9980000257492065,0.8989,0.0,0.0,0.0,0.0,0.008193,0.013242,0.1105
3,267590,onpolicy,2000,1999,0.0005000000237487257,256,8,0.0,0.0,0.0,0.0,1999,0.0838,-0.003,0.1867,0.3215,0.2935,0.0,1999,0.0611,-0.0012,0.1372,0.2501,0.2142,0.0,1999,0.0496,-0.0004,0.1098,0.1915,0.1736,0.0,1999,0.0438,0.0033,0.0829,0.1874,0.1533,0.0,0.1562,0.5585,0.2003,0.782086,0.9994999766349792,0.8964,0.0,0.0,0.0,0.0,0.008216,0.013383,0.115
3,267590,ou,2000,1999,0.0005000000237487257,256,8,0.0,0.0,0.0,0.0,1999,0.0667,-0.009,0.1604,0.2448,0.4347,0.0,1999,0.051,-0.0066,0.1178,0.196,0.3325,0.0,1999,0.0688,-0.0018,0.0817,0.153,0.4482,0.0,1999,0.0701,0.0021,0.078,0.2048,0.4572,0.0,0.1069,0.5564,0.1372,0.781369,0.9980000257492065,0.9041,0.0,0.0,0.0,0.0,0.008193,0.013242,0.1105
3,297487,onpolicy,2000,1999,0.0005000000237487257,256,8,0.0,0.0,0.0,0.0,1999,0.0677,-0.0167,0.1524,0.2675,0.2527,0.0,1999,0.0528,-0.0124,0.1162,0.2135,0.1971,0.0,1999,0.0466,-0.0124,0.1053,0.1792,0.1737,0.0,1999,0.0468,0.0022,0.0903,0.1737,0.1747,0.0,0.1025,0.2771,0.132,0.783686,0.9990000128746033,0.9545,0.0,0.0,0.0,0.0,0.008208,0.013218,0.109
3,297487,ou,2000,1999,0.0005000000237487257,256,8,0.0,0.0,0.0,0.0,1999,0.0897,-0.0064,0.2033,0.3972,0.519,0.0,1999,0.0699,-0.0041,0.1473,0.3168,0.4041,0.0,1999,0.0596,-0.0038,0.1103,0.1841,0.3446,0.0,1999,0.0567,-0.001,0.0799,0.1781,0.3281,0.0,0.0883,0.6202,0.1138,0.781369,0.9980000257492065,0.8938,0.0,0.0,0.0,0.0,0.008193,0.013242,0.1105
3,327174,onpolicy,2000,1999,0.0005000000237487257,256,8,0.0,0.0,0.0,0.0,1999,0.0986,-0.0058,0.1324,0.2676,0.3326,0.0,1999,0.0729,-0.0043,0.1033,0.1798,0.246,0.0,1999,0.0796,-0.0036,0.0916,0.1861,0.2687,0.0,1999,0.0828,0.0017,0.0996,0.2441,0.2794,0.0,0.1262,0.4542,0.161,0.783388,0.9990000128746033,0.9235,0.0,0.0,0.0,0.0,0.008196,0.013075,0.105
3,327174,ou,2000,1999,0.0005000000237487257,256,8,0.0,0.0,0.0,0.0,1999,0.0843,-0.0228,0.1683,0.2181,0.4683,0.0,1999,0.0649,-0.0168,0.134,0.1731,0.3603,0.0,1999,0.0718,-0.0128,0.0922,0.1817,0.3988,0.0,1999,0.0705,-0.0007,0.0797,0.1867,0.3914,0.0,0.0858,0.6413,0.109,0.781369,0.9980000257492065,0.8829,0.0,0.0,0.0,0.0,0.008193,0.013242,0.1105
3,356717,onpolicy,2000,1999,0.0005000000237487257,256,8,0.0,0.0,0.0,0.0,1999,0.0769,0.0027,0.1315,0.1923,0.2258,0.0,1999,0.0568,0.0018,0.0993,0.1489,0.1668,0.0,1999,0.0382,0.0049,0.0906,0.1266,0.1122,0.0,1999,0.0394,0.0035,0.083,0.1718,0.1157,0.0,0.1013,0.2753,0.1295,0.783432,0.9994999766349792,0.956,0.0,0.0,0.0,0.0,0.008197,0.013059,0.1045
3,356717,ou,2000,1999,0.0005000000237487257,256,8,0.0,0.0,0.0,0.0,1999,0.1041,-0.0233,0.225,0.3374,0.5099,0.0,1999,0.0811,-0.0172,0.177,0.2705,0.3972,0.0,1999,0.098,-0.0132,0.1174,0.2324,0.4798,0.0,1999,0.0947,-0.0012,0.0791,0.2386,0.4638,0.0,0.0846,0.6461,0.1072,0.781369,0.9980000257492065,0.8831,0.0,0.0,0.0,0.0,0.008193,0.013242,0.1105
