mode,label,seed,step,ret
fork_guarded,learned+guard,5,310000,5.6407
fork_guarded,learned+guard,5,320000,6.9577
fork_guarded,learned+guard,5,330000,13.1475
fork_guarded,learned+guard,5,340000,5.4984
fork_guarded,learned+guard,5,350000,7.9424
fork_guarded,learned+guard,5,360000,11.1617
fork_guarded,learned+guard,5,370000,5.9808
fork_guarded,learned+guard,5,380000,5.4849
fork_guarded,learned+guard,5,390000,9.4728
fork_guarded,learned+guard,5,400000,10.9971
fork_guarded,learned+guard,5,410000,5.8668
fork_guarded,learned+guard,5,420000,5.9107
fork_guarded,learned+guard,5,430000,12.3519
fork_guarded,learned+guard,5,440000,7.1009
fork_guarded,learned+guard,5,450000,8.3183
fork_guarded,learned+guard,5,460000,10.9385
fork_guarded,learned+guard,5,470000,6.1678
fork_guarded,learned+guard,5,480000,24.701
fork_guarded,learned+guard,5,490000,8.4799
fork_guarded,learned+guard,5,500000,10.707
mbq_structured_quad_roll,learned,0,40000,0.5171
mbq_structured_quad_roll,learned,0,80000,15.3208
mbq_structured_quad_roll,learned,0,120000,0.4718
mbq_structured_quad_roll,learned,0,160000,0.4861
mbq_structured_quad_roll,learned,0,200000,0.6369
mbq_structured_quad_roll,learned,0,240000,0.474
mbq_structured_quad_roll,learned,0,280000,0.4435
mbq_structured_quad_roll,learned,0,320000,0.5835
mbq_structured_quad_roll,learned,0,360000,0.6399
mbq_structured_quad_roll,learned,0,400000,0.5667
mbq_structured_quad_roll,learned,0,440000,0.5293
mbq_structured_quad_roll,learned,0,480000,0.4457
mbq_structured_quad_roll,learned,1,40000,1.0834
mbq_structured_quad_roll,learned,1,80000,2.0527
mbq_structured_quad_roll,learned,1,120000,1.1522
mbq_structured_quad_roll,learned,1,160000,0.8285
mbq_structured_quad_roll,learned,1,200000,0.1514
mbq_structured_quad_roll,learned,1,240000,0.6483
mbq_structured_quad_roll,learned,1,280000,3.4492
mbq_structured_quad_roll,learned,1,320000,0.4538
mbq_structured_quad_roll,learned,1,360000,0.881
mbq_structured_quad_roll,learned,1,400000,0.2662
mbq_structured_quad_roll,learned,1,440000,1.8254
mbq_structured_quad_roll,learned,1,480000,1.0547
mbq_structured_quad_roll,learned,2,40000,7.4191
mbq_structured_quad_roll,learned,2,80000,10.1032
mbq_structured_quad_roll,learned,2,120000,8.0679
mbq_structured_quad_roll,learned,2,160000,42.8484
mbq_structured_quad_roll,learned,2,200000,15.3817
mbq_structured_quad_roll,learned,2,240000,10.9168
mbq_structured_quad_roll,learned,2,280000,9.3701
mbq_structured_quad_roll,learned,2,320000,8.1867
mbq_structured_quad_roll,learned,2,360000,12.1317
mbq_structured_quad_roll,learned,2,400000,7.4642
mbq_structured_quad_roll,learned,2,440000,12.0782
mbq_structured_quad_roll,learned,2,480000,9.4448
mbq_structured_quad_roll,learned,3,40000,3.3234
mbq_structured_quad_roll,learned,3,80000,8.7232
mbq_structured_quad_roll,learned,3,120000,3.716
mbq_structured_quad_roll,learned,3,160000,5.2576
mbq_structured_quad_roll,learned,3,200000,10.0054
mbq_structured_quad_roll,learned,3,240000,5.2891
mbq_structured_quad_roll,learned,3,280000,5.9592
mbq_structured_quad_roll,learned,3,320000,4.8068
mbq_structured_quad_roll,learned,3,360000,5.698
mbq_structured_quad_roll,learned,3,400000,14.4321
mbq_structured_quad_roll,learned,3,440000,4.3087
mbq_structured_quad_roll,learned,3,480000,17.9499
