mode,family,buffer,step,reward_mean,reward_std,n
mbq_vhead_quad_buf1m,oracle+quad+Vhead,1M,1640000,1282.12,223.68,12
mbq_vhead_quad_buf1m,oracle+quad+Vhead,1M,1680000,1232.40,278.49,12
mbq_vhead_quad_buf1m,oracle+quad+Vhead,1M,1720000,1289.25,169.09,12
mbq_vhead_quad_buf1m,oracle+quad+Vhead,1M,1760000,1321.86,180.47,12
mbq_vhead_quad_buf1m,oracle+quad+Vhead,1M,1800000,1320.91,137.80,12
mbq_vhead_quad_buf1m,oracle+quad+Vhead,1M,1840000,1324.14,178.47,12
mbq_vhead_quad_buf1m,oracle+quad+Vhead,1M,1880000,1205.73,330.00,12
mbq_vhead_quad_buf1m,oracle+quad+Vhead,1M,1920000,1392.35,104.29,12
mbq_vhead_quad_buf1m,oracle+quad+Vhead,1M,1960000,1361.44,159.73,12
mbq_vhead_quad_buf1m,oracle+quad+Vhead,1M,2000000,1379.95,104.34,12
