seed,step,distribution,n,eps_quad_rms,eps_quad_bias,eps_quad_p95,eps_quad_p99,eps_quad_rel,eps_re_rms,eps_re_bias,eps_re_p95,eps_re_p99,eps_re_rel,eps_gate_rms,eps_gate_bias,eps_gate_p95,eps_gate_p99,eps_gate_rel,eps_fd_rms,eps_fd_bias,eps_fd_p95,eps_fd_p99,eps_fd_rel,rho_med,rho_p95,lambda_mean,model_seconds_mean
11,179515,onpolicy,2000,0.1085,-0.0245,0.1969,0.3426,0.3417,0.0849,-0.0174,0.1458,0.2617,0.2673,0.3452,-0.0105,0.0911,0.2409,1.0868,0.3549,0.0015,0.1164,0.4959,1.1176,0.1593,0.4325,0.8478,0.00819
11,179515,ou,2000,0.1846,-0.0469,0.2857,0.8517,0.4668,0.1448,-0.0361,0.2024,0.6912,0.3662,0.2931,-0.0014,0.1196,0.2155,0.7411,0.2931,0.012,0.0632,0.2177,0.7409,0.1285,0.7865,0.7741,0.008193
11,209031,onpolicy,2000,0.1137,-0.027,0.2521,0.4701,0.3293,0.087,-0.0187,0.1934,0.3658,0.2521,0.2252,-0.0163,0.1228,0.2473,0.6522,0.2394,-0.0043,0.1927,0.6436,0.6933,0.149,0.7109,0.8252,0.008204
11,209031,ou,2000,0.0782,-0.0115,0.1511,0.1989,0.3499,0.0605,-0.0078,0.1194,0.1581,0.2707,0.069,-0.0049,0.0548,0.1533,0.3088,0.0713,0.0015,0.0673,0.2135,0.3191,0.1275,0.7577,0.7802,0.008193
11,238313,onpolicy,2000,0.169,-0.0319,0.1983,1.0022,0.5164,0.1347,-0.0249,0.1508,0.8144,0.4117,0.0596,-0.0073,0.1237,0.2041,0.1821,0.0744,0.0073,0.1516,0.3193,0.2273,0.1514,0.3427,0.8574,0.008201
11,238313,ou,2000,0.0719,-0.0088,0.1521,0.2023,0.3803,0.055,-0.0057,0.1175,0.1643,0.2913,0.0845,-0.004,0.065,0.097,0.4471,0.0881,0.0006,0.0847,0.1818,0.4663,0.1215,0.7673,0.7812,0.008193
11,267724,onpolicy,2000,0.0523,0.0074,0.1209,0.1816,0.2117,0.0398,0.0059,0.0924,0.1402,0.1609,0.037,0.0058,0.0826,0.1336,0.1499,0.0528,0.0052,0.1024,0.2194,0.2139,0.1442,0.3144,0.8865,0.008205
11,267724,ou,2000,0.0843,-0.0238,0.1393,0.2502,0.3649,0.0641,-0.0169,0.1118,0.2239,0.2776,0.0668,-0.0097,0.0664,0.1668,0.2894,0.0689,0.0002,0.0719,0.2313,0.2984,0.1198,0.7798,0.7748,0.008193
11,296944,onpolicy,2000,0.0089,-0.0001,0.0203,0.0256,0.2235,0.0068,-0.0,0.0155,0.0204,0.1692,0.014,0.0016,0.0307,0.0588,0.3504,0.0306,0.0043,0.072,0.1233,0.7643,0.2005,0.4113,0.8114,0.008169
11,296944,ou,2000,0.064,-0.0228,0.1199,0.3082,0.3113,0.0492,-0.0164,0.0899,0.2444,0.2395,0.0508,-0.0063,0.0563,0.1845,0.2471,0.0557,0.002,0.0729,0.223,0.271,0.1189,0.7804,0.7701,0.008193
11,326464,onpolicy,2000,0.102,-0.0294,0.2077,0.3045,0.3689,0.0765,-0.0208,0.1581,0.2395,0.2767,0.0637,-0.015,0.1245,0.1974,0.2304,0.0674,0.0045,0.1496,0.2661,0.2436,0.1828,0.4064,0.8272,0.008182
11,326464,ou,2000,0.0677,-0.0222,0.1198,0.2861,0.2933,0.052,-0.016,0.0931,0.2345,0.2253,0.0513,-0.005,0.0557,0.1719,0.2222,0.0562,0.0016,0.081,0.2448,0.2433,0.1216,0.8259,0.7601,0.008193
11,355856,onpolicy,2000,0.0738,-0.009,0.1485,0.2742,0.2471,0.0546,-0.0062,0.1133,0.2019,0.1829,0.0518,-0.0039,0.106,0.1866,0.1735,0.0719,0.0029,0.1387,0.3103,0.2406,0.1834,0.4345,0.8207,0.008178
11,355856,ou,2000,0.0707,-0.0038,0.1517,0.3518,0.3526,0.0547,-0.0025,0.1149,0.2729,0.2727,0.0546,-0.0025,0.0608,0.2915,0.272,0.058,0.0015,0.0805,0.2915,0.2891,0.1098,0.8436,0.7558,0.008193
11,385116,onpolicy,2000,0.076,0.004,0.1695,0.2914,0.2692,0.0587,0.0037,0.1306,0.2333,0.2081,0.0642,-0.001,0.108,0.2385,0.2274,0.0786,0.0016,0.143,0.345,0.2785,0.1773,0.934,0.755,0.008172
11,385116,ou,2000,0.0964,0.0064,0.2649,0.326,0.4902,0.0749,0.0053,0.1971,0.2666,0.3807,0.0475,-0.0012,0.0738,0.1852,0.2416,0.0519,-0.0002,0.0822,0.214,0.2637,0.1016,0.8707,0.7535,0.008193
