seed,distribution,checkpoint_step,direct_return,direct_return_std,logged_final_return,n_states,eps_T_rms,eps_T_bias,eps_T_p95,eps_T_p99,rel_eps_T_over_dVoracle,dV_sign_err_frac,dV_spearman,target_spearman,rms_target_learned,rms_target_oracle,L_minus_O_tgt_rms,L_minus_O_tgt_bias,L_minus_O_tgt_p95,L_minus_O_tgt_p99,Q0_vs_learned_rms,Q0_vs_learned_bias,Q0_vs_learned_p95,Q0_vs_learned_p99,Q1_vs_learned_rms,Q1_vs_learned_bias,Q1_vs_learned_p95,Q1_vs_learned_p99,Q0_vs_oracle_rms,Q0_vs_oracle_bias,Q0_vs_oracle_p95,Q0_vs_oracle_p99,Q1_vs_oracle_rms,Q1_vs_oracle_bias,Q1_vs_oracle_p95,Q1_vs_oracle_p99,action_gap_rms,action_gap_p95,abs_eps_vs_gap_corr
8,ou,491113,1242.78,22.98,1259.0,4000,0.118,-0.0137,0.2614,0.5166,0.6132,0.0922,0.8976,0.9994,6.4186,6.4211,0.118,-0.0137,0.2614,0.5166,0.6704,-0.083,1.2484,3.0345,0.5846,-0.2433,1.2665,2.2214,0.6696,-0.0967,1.2375,3.0763,0.6015,-0.257,1.3635,2.2203,,,
9,replay_data,495368,1051.08,83.93,997.63,4000,0.109,-0.0106,0.1159,0.3667,0.3873,0.0387,0.974,1.0,22.9109,22.9163,0.109,-0.0106,0.1159,0.3667,0.4447,0.0047,0.4848,0.7374,0.4515,0.0719,0.5046,0.7345,0.4593,-0.0059,0.5098,0.8736,0.463,0.0614,0.5336,0.8389,,,
9,replay_pi,495368,1051.08,83.93,997.63,4000,0.1055,-0.0109,0.0967,0.3342,0.3714,0.0275,0.9787,1.0,22.9664,22.972,0.1055,-0.0109,0.0967,0.3342,0.4616,0.006,0.5535,0.8581,0.4607,0.0704,0.5412,0.8059,0.4746,-0.0049,0.5728,0.9788,0.4713,0.0596,0.5614,0.8951,0.7257,1.5867,-0.0548
9,onpolicy,495368,1051.08,83.93,997.63,4000,0.1016,-0.0048,0.058,0.5117,0.3972,0.0125,0.9734,1.0,28.1409,28.1432,0.1016,-0.0048,0.058,0.5117,0.8268,0.0218,0.5297,1.4796,0.8786,0.1505,0.5673,2.2819,0.8331,0.0169,0.5839,1.6048,0.8825,0.1457,0.6477,2.2533,,,
9,ou,495368,1051.08,83.93,997.63,4000,0.0859,-0.0155,0.1674,0.3111,0.4408,0.1085,0.8709,0.9993,5.5468,5.5651,0.0859,-0.0155,0.1674,0.3111,0.8542,0.1055,1.4426,3.254,0.7924,0.3047,1.655,3.2189,0.8687,0.09,1.4382,3.3442,0.792,0.2892,1.6082,3.3004,,,
10,replay_data,494041,1256.89,23.77,776.39,4000,0.0968,-0.0073,0.0836,0.2843,0.3849,0.0478,0.9724,1.0,27.649,27.6522,0.0968,-0.0073,0.0836,0.2843,0.8628,-0.0447,0.6692,1.0517,0.8658,-0.03,0.6713,1.2285,0.8712,-0.052,0.7127,1.1478,0.8722,-0.0373,0.7031,1.3568,,,
10,replay_pi,494041,1256.89,23.77,776.39,4000,0.0936,-0.0028,0.0812,0.2666,0.3609,0.0428,0.9762,1.0,27.6879,27.6868,0.0936,-0.0028,0.0812,0.2666,0.8712,-0.0355,0.6757,1.0979,0.8722,-0.0224,0.6901,1.2079,0.8785,-0.0383,0.7078,1.1892,0.8772,-0.0252,0.7216,1.287,0.6505,1.407,-0.037
10,onpolicy,494041,1256.89,23.77,776.39,4000,0.0568,-0.0054,0.0388,0.0676,0.2987,0.0318,0.9947,1.0,34.0857,34.0906,0.0568,-0.0054,0.0388,0.0676,0.9712,-0.0978,0.5385,0.6872,0.9644,-0.0685,0.362,0.5994,0.9738,-0.1032,0.5435,0.6953,0.9663,-0.0739,0.3692,0.6202,,,
10,ou,494041,1256.89,23.77,776.39,4000,0.0734,-0.0165,0.1574,0.2595,0.354,0.0907,0.9178,0.9996,5.8256,5.8412,0.0734,-0.0165,0.1574,0.2595,0.6708,0.266,1.2294,2.656,1.282,0.6012,2.594,2.7781,0.671,0.2495,1.2257,2.6482,1.2717,0.5847,2.5757,2.7444,,,
11,replay_data,492449,879.81,24.52,636.84,4000,1.3027,0.2553,1.7344,7.2337,4.102,0.066,0.9157,0.9999,49.1905,48.1775,1.3027,0.2553,1.7344,7.2337,0.7801,-0.0299,0.9792,3.4659,0.8253,-0.1055,1.1648,3.7286,1.0918,0.2254,1.5442,6.0878,1.0052,0.1498,1.3023,5.9121,,,
11,replay_pi,492449,879.81,24.52,636.84,4000,1.3064,0.2304,1.548,7.2376,3.6574,0.066,0.9056,0.9999,49.1781,48.1889,1.3064,0.2304,1.548,7.2376,0.8373,0.0092,1.1075,3.7169,0.8596,-0.0667,1.2958,3.8016,1.1494,0.2397,1.705,6.285,1.0566,0.1637,1.4424,6.1374,0.7676,1.5873,-0.2208
11,onpolicy,492449,879.81,24.52,636.84,4000,0.1016,-0.0011,0.1585,0.3838,0.3422,0.0605,0.9741,0.9999,22.1963,22.1854,0.1016,-0.0011,0.1585,0.3838,0.2869,-0.032,0.502,0.6988,0.3576,-0.0767,0.6404,0.8891,0.3051,-0.0331,0.5351,0.7622,0.379,-0.0778,0.6971,0.9456,,,
11,ou,492449,879.81,24.52,636.84,4000,0.0915,-0.0089,0.1696,0.2988,0.4553,0.1368,0.8533,0.9997,7.6492,7.6619,0.0915,-0.0089,0.1696,0.2988,0.6222,0.0175,1.0512,1.8648,0.5213,0.0914,1.0747,2.3713,0.6353,0.0085,1.0691,1.8842,0.5385,0.0825,0.9975,2.5502,,,
