rollout/acrobot_xk_applied_torque,rollout/acrobot_xk_elbow_norm,rollout/acrobot_xk_elbow_rate_norm,rollout/acrobot_xk_energy_error_norm,rollout/acrobot_xk_homoclinic_capture,rollout/acrobot_xk_lyapunov,rollout/acrobot_xk_lyapunov_rate,time/fps,time/time_elapsed,time/total_timesteps,train/learning_rate,train/actor_loss,train/alpha,train/critic_loss,train/fraction,train/n_updates,rollout/ep_len_mean,rollout/ep_rew_mean,eval/best_strict_capture_mean_max_duration,eval/best_strict_capture_success_rate,eval/mean_ep_length,eval/mean_reward,eval/std_reward,eval/strict_capture_mean_max_duration,eval/strict_capture_success_rate
20.0,0.2123989789901385,2.00141665488848,-0.08081368433911588,0.0,2466.3188564528296,20685.967946276607,21,10015,220000,0.0003,-272017883136.0,0.05000000074505806,9.139348237869436e+20,99190628352.0,210001,1307.2,584116.66219856,,,,,,,
20.0,-0.08106835184705537,2.1766980755681216,0.1648751962533104,0.0,3291.788857359939,40979.68025072871,22,10090,222000,0.0003,-286621007872.0,0.05000000074505806,9.93386976569293e+20,103342800896.0,212001,1307.06,583868.71947341,,,,,,,
20.0,0.18724077641382383,2.051925186001826,-0.008054089517653152,0.0,2521.6480625818863,20151.071547804295,22,10166,224000,0.0003,-301148602368.0,0.05000000074505806,7.106259688375437e+21,100134445056.0,214001,1306.8,583668.77891361,,,,,,,
20.0,-0.05401166594559256,2.2198007957851353,0.12333394272275308,0.0,3363.649642836161,40382.655550416894,22,10241,226000,0.0003,-313458556928.0,0.05000000074505806,7.186856670256813e+21,102285099008.0,216001,1306.54,583471.99329685,,,,,,,
20.0,0.17003580055392092,1.9445141712547533,0.056708353838262913,0.0,2377.319731282937,21900.235832760176,22,10316,228000,0.0003,-305521033216.0,0.05000000074505806,1.00665042931562e+21,111964307456.0,218001,1306.67,583645.53399102,,,,,,,
20.0,-0.0269980355744891,2.2080412938741785,0.07550681274140465,0.0,3357.2368377343946,41179.50170399511,22,10391,230000,0.0003,-329867788288.0,0.05000000074505806,1.301662593187454e+21,113459773440.0,220001,1307.15,584135.50064364,,,,,,,
20.0,0.1348296578006934,1.9742277279164866,0.06252773108301718,0.0,2438.416938416487,22418.451387604022,22,10466,232000,0.0003,-322081816576.0,0.05000000074505806,1.6604947747975463e+21,113718419456.0,222001,1307.22,584238.9839067,,,,,,,
20.0,0.01206724289779873,2.2207455429945036,0.0490513615146224,0.0,3317.478840483959,39065.14485260206,22,10541,234000,0.0003,-334322171904.0,0.05000000074505806,1.3664912061360106e+21,116974960640.0,224001,1307.46,584462.2299861901,,,,,,,
20.0,0.063475219344674,2.0622849415456423,0.14075104203953304,0.0,2621.473232693507,23258.098947224742,22,10616,236000,0.0003,-358104039424.0,0.05000000074505806,1.6528731361156635e+21,122402570240.0,226001,1307.38,584414.4754982,,,,,,,
20.0,0.08693899707426628,2.1423333152133286,-0.03448679175834706,0.0,3147.50058431155,36755.70357851961,22,10691,238000,0.0003,-360623800320.0,0.05000000074505806,1.3776894066094674e+21,117796364288.0,228001,1307.53,584519.1371519001,,,,,,,
20.0,0.04239966203747492,2.0164842837505774,0.15654403443770004,0.0,2593.4971302139525,25233.296411932795,22,10766,240000,0.0003,-364291719168.0,0.05000000074505806,1.461064827985954e+21,127753814016.0,230001,1307.71,584749.3733695201,,,,,,,
20.0,0.10774241043902294,2.1491263721116596,-0.03223832629246575,0.0,3118.7237294621555,36424.243552204796,22,10840,242000,0.0003,-373145534464.0,0.05000000074505806,1.8958679502351824e+21,137384534016.0,232001,1308.02,585071.82829337,,,,,,,
20.0,0.01843962346789037,2.042841139442659,0.19598677952781057,0.0,2715.6622522363127,28469.159770147602,22,10915,244000,0.0003,-403943686144.0,0.05000000074505806,2.6123886806249914e+21,144324460544.0,234001,1308.64,585745.21702872,,,,,,,
20.0,0.13864388015942486,2.145266748296294,-0.05430134860491171,0.0,3071.7078800562435,34625.30187607616,22,10990,246000,0.0003,-414373969920.0,0.05000000074505806,2.3603146096566935e+21,146659196928.0,236001,1308.62,585759.1149441301,,,,,,,
20.0,-0.03085347960603577,2.22778656095841,0.23156336209856618,0.0,3307.253079260354,39814.83010005707,22,11065,248000,0.0003,-403296124928.0,0.05000000074505806,3.711340454672314e+21,459001790464.0,238001,1308.43,585529.35790929,,,,,,,
