arm,update,split,label_rmse,initial_label_rmse,label_drift_rms,interior_label_rmse,boundary_label_rmse,reset_label_rmse,rollout_label_rmse,boundary_value_rmse,hjb_rms,target_gap_rms,value_abs_max,eta_abs_mean,eta_abs_max,eta_abs_p50,eta_abs_p90,eta_abs_p99,state_gradient_norm_mean,state_gradient_norm_max,saturation_fraction,terminal_fraction
moving_labels,400,heldout,0.45528261926127456,0.6540468961875073,0.406517032474036,0.08057391644418418,7.664981455828046,2.6105271569050693e-05,0.6438668543428278,7.664981455828046,3.0491234233757494,0.12036252051605685,2.9877424240112305,0.0005159705760888755,0.007629633881151676,0.00017201071023009717,0.0014602930750697851,0.004267749842256308,0.21431313455104828,2.216107130050659,0.0,0.00341796875
online,400,train,0.44530346599662635,0.6766025519988796,0.42635140173423935,0.10801897372520733,7.139558966574597,3.421518749711331e-05,0.6297542000547023,7.139558966574597,3.1780226598100763,0.14973399121786585,3.248047113418579,0.0005461312830448151,0.00787125714123249,0.0001569573360029608,0.0014170717913657427,0.004875085316598415,0.23068177700042725,2.3582699298858643,0.000244140625,0.003662109375
online,400,heldout,0.4543876632061489,0.6588000595631223,0.4022438889595749,0.09762181754161305,7.591310810626253,3.434658374762108e-05,0.6426011949632535,7.591310810626253,3.2037502209893542,0.13733371361273286,3.105362892150879,0.0005211537936702371,0.007880565710365772,0.00016403873451054096,0.0014233874389901757,0.004566514398902655,0.2197733223438263,2.3746700286865234,0.00048828125,0.00341796875
fixed_labels,500,train,0.5675900823546274,0.5675900823546274,0.0,0.17008197760370367,8.949884721312765,0.00021129940388799683,0.8026935645233662,8.949884721312765,1.3874183315752655,0.1849600997419709,1.2332534790039062,0.00038025848334655166,0.007889471016824245,0.00010665720037650317,0.0007856956799514592,0.004836081061512232,0.1050160601735115,1.2610357999801636,0.000244140625,0.003662109375
fixed_labels,500,heldout,0.5564108593505629,0.5564108593505629,0.0,0.1630714526532449,9.100798028991363,0.00021142269668158084,0.786883755142338,9.100798028991363,1.3953603169358055,0.1749766957269387,1.1731865406036377,0.0003390256897546351,0.006835521198809147,0.00010852320701815188,0.000791130238212645,0.004132816102355719,0.09980416297912598,1.2601687908172607,0.0,0.00341796875
moving_labels,500,train,0.3910232321751907,0.778208679653753,0.5794259224340608,0.11622805691098075,6.17060192541547,2.7321240882192676e-05,0.5529903574701968,6.17060192541547,4.336218068913668,0.17676548630295777,4.355195045471191,0.0006373475771397352,0.010707957670092583,0.00016476846940349787,0.00170256313867867,0.005931871011853218,0.30629879236221313,3.387831449508667,0.004638671875,0.003662109375
moving_labels,500,heldout,0.4102221910240369,0.7528647200764848,0.5478899926840192,0.10422622175750083,6.787282665865108,2.776302164595668e-05,0.5801417854682918,6.787282665865108,4.392842737411092,0.16335023529622095,4.180087566375732,0.000613686628639698,0.010924291796982288,0.00017460287199355662,0.0017376315081492066,0.005576580297201872,0.2919149100780487,3.413855791091919,0.00146484375,0.00341796875
online,500,train,0.38777132018240795,0.7587850153709685,0.594863711123832,0.086210424645787,6.248042999315615,5.092549050758214e-05,0.5483914577367243,6.248042999315615,4.311566011273294,0.1397244284891455,4.293355941772461,0.0006341874832287431,0.011821621097624302,0.0001496710756327957,0.0015844728332012892,0.00642250943928957,0.29427236318588257,3.413904905319214,0.006103515625,0.003662109375
online,500,heldout,0.409607450120548,0.7342778847686395,0.56135671228034,0.0756164222295789,6.886215680872829,5.1091802593019005e-05,0.5792724089563925,6.886215680872829,4.36330804761367,0.12736820079991568,4.105475902557373,0.0005974637460894883,0.011699510738253593,0.00015682428784202784,0.0015881996368989348,0.0059678335674107075,0.2801308333873749,3.434790849685669,0.00244140625,0.00341796875
fixed_labels,600,train,0.5615385564441678,0.5615385564441678,0.0,0.16879018348385808,8.851761594764085,0.00017840204155539834,0.7941354222797968,8.851761594764085,1.6453285394124342,0.186162254684675,1.3907923698425293,0.0004311752854846418,0.010133512318134308,9.722393588162959e-05,0.0008054741192609072,0.00662071630358696,0.11449633538722992,1.7475168704986572,0.0048828125,0.003662109375
